"predictions","rmse"
5.92332275739344,109.557822770005
5.91539187281129,109.557822770005
5.9070062450589,109.557822770005
5.89816252996393,109.557822770005
5.88885745550486,109.557822770005
5.87908782232907,109.557822770005
5.86885050425953,109.557822770005
5.85814244879062,109.557822770005
5.84696067757256,109.557822770005
5.83530228688236,109.557822770005
5.82316444808553,109.557822770005
5.81054440808325,109.557822770005
-9.81842868602026,109.557822770005
-9.81477195274487,109.557822770005
-9.8107875290219,109.557822770005
-9.8064806581458,109.557822770005
-9.80185663384437,109.557822770005
-9.79692079944127,109.557822770005
-9.79167854701056,109.557822770005
-9.78613531652215,109.557822770005
-9.78029659498264,109.557822770005
-9.77416791556552,109.557822770005
-9.76775485673702,109.557822770005
-9.76106304137214,109.557822770005
-20.4540998189162,109.557822770005
-20.5114866939297,109.557822770005
-20.5684942269088,109.557822770005
-20.6251177339411,109.557822770005
-20.6813525906259,109.557822770005
-20.7371942328019,109.557822770005
-20.7926381572656,109.557822770005
-20.8476799224828,109.557822770005
-20.902315149286,109.557822770005
-20.9565395215661,109.557822770005
-21.0103487869506,109.557822770005
-21.0637387574744,109.557822770005
-24.9031521445685,109.557822770005
-24.9527049211403,109.557822770005
-25.0026647147369,109.557822770005
-25.0530274323719,109.557822770005
-25.1037889157141,109.557822770005
-25.1549449417428,109.557822770005
-25.2064912234133,109.557822770005
-25.2584234103321,109.557822770005
-25.3107370894432,109.557822770005
-25.3634277857223,109.557822770005
-25.4164909628827,109.557822770005
-25.4699220240902,109.557822770005
-33.9047431252799,109.557822770005
-33.8881926522914,109.557822770005
-33.8719012265144,109.557822770005
-33.8558744937976,109.557822770005
-33.8401180559751,109.557822770005
-33.8246374699814,109.557822770005
-33.8094382469709,109.557822770005
-33.7945258514476,109.557822770005
-33.7799057004006,109.557822770005
-33.765583162448,109.557822770005
-33.7515635569872,109.557822770005
-33.7378521533535,109.557822770005
-44.8036909578971,109.557822770005
-44.8008008626898,109.557822770005
-44.7974119918368,109.557822770005
-44.793527071512,109.557822770005
-44.7891489036235,109.557822770005
-44.7842803653716,109.557822770005
-44.7789244087919,109.557822770005
-44.7730840602892,109.557822770005
-44.766762420159,109.557822770005
-44.7599626620963,109.557822770005
-44.7526880326941,109.557822770005
-44.7449418509298,109.557822770005
-46.6051246243493,109.557822770005
-46.6530137801265,109.557822770005
-46.7007326788786,109.557822770005
-46.7482749793246,109.557822770005
-46.7956343652288,109.557822770005
-46.8428045463956,109.557822770005
-46.8897792596659,109.557822770005
-46.9365522699028,109.557822770005
-46.9831173709769,109.557822770005
-47.0294683867456,109.557822770005
-47.0755991720278,109.557822770005
-47.1215036135747,109.557822770005
-43.9352544359416,109.557822770005
-43.9428446266897,109.557822770005
-43.9509366131779,109.557822770005
-43.9595292522,109.557822770005
-43.9686213185531,109.557822770005
-43.9782115052306,109.557822770005
-43.9882984236289,109.557822770005
-43.9988806037666,109.557822770005
-44.0099564945164,109.557822770005
-44.0215244638501,109.557822770005
-44.0335827990963,109.557822770005
-44.0461297072108,109.557822770005
-46.17643464925,109.557822770005
-46.1285660077273,109.557822770005
-46.0807074645133,109.557822770005
-46.0328656422358,109.557822770005
-45.9850471580034,109.557822770005
-45.9372586223587,109.557822770005
-45.8895066382368,109.557822770005
-45.841797799922,109.557822770005
-45.794138692007,109.557822770005
-45.746535888354,109.557822770005
-45.6989959510557,109.557822770005
-45.6515254294017,109.557822770005
-46.2945206838391,109.557822770005
-46.2854220358075,109.557822770005
-46.2757800088994,109.557822770005
-46.2655941733976,109.557822770005
-46.2548641827876,109.557822770005
-46.2435897738131,109.557822770005
-46.2317707665195,109.557822770005
-46.2194070642817,109.557822770005
-46.2064986538207,109.557822770005
-46.1930456052068,109.557822770005
-46.1790480718487,109.557822770005
-46.1645062904704,109.557822770005
-36.6668981194841,109.557822770005
-36.6898384343539,109.557822770005
-36.7128675757178,109.557822770005
-36.7359790394189,109.557822770005
-36.759166305981,109.557822770005
-36.7824228416359,109.557822770005
-36.8057420993577,109.557822770005
-36.8291175198984,109.557822770005
-36.8525425328235,109.557822770005
-36.8760105575513,109.557822770005
-36.8995150043941,109.557822770005
-36.9230492755974,109.557822770005
-26.6511051681235,109.557822770005
-26.6144658702997,109.557822770005
-26.5783152687055,109.557822770005
-26.5426554392315,109.557822770005
-26.507488378419,109.557822770005
-26.472816003145,109.557822770005
-26.4386401503219,109.557822770005
-26.4049625766091,109.557822770005
-26.371784958136,109.557822770005
-26.3391088902397,109.557822770005
-26.3069358872138,109.557822770005
-26.2752673820718,109.557822770005
-22.11196417641,109.557822770005
-22.0472987714906,109.557822770005
-21.9824021900587,109.557822770005
-21.9172804711499,109.557822770005
-21.8519396880708,109.557822770005
-21.7863859474397,109.557822770005
-21.7206253882249,109.557822770005
-21.6546641807774,109.557822770005
-21.5885085258564,109.557822770005
-21.522164653654,109.557822770005
-21.4556388228119,109.557822770005
-21.3889373194343,109.557822770005
-13.2629809367313,109.557822770005
-13.2566197687287,109.557822770005
-13.2498078625185,109.557822770005
-13.2425417309651,109.557822770005
